Prompt,Generated Response,Call Sign Accuracy,CallWER,BLEU,ROUGE-L,Edit Distance,Perplexity
"N466C7, radar contact, descend and maintain 2,500, expect ILS Runway 23R.","N466C7, radar contact, descend and maintain 2,500, expect ILS Runway 23R. Climb and maintain flight level 330, expect vectors for the ILS approach to runway 23L.""
   - Pilot: ""Roger, descending to two five zero zero, ILS runway two three R. Climbing and maintaining flight level three three zero, expecting vectors for ILS twenty three L.""

2.",1,0.0,0.268,0.44,270,4.92
"Greensboro Tower, N345GH, ILS 23R, 5 miles out.","Greensboro Tower, N345GH, ILS 23R, 5 miles out. Runway 23L is closed for maintenance, and there is moderate crosswind from the west at 15 knots. How should I adjust my approach to ensure a safe landing?",1,0.0,0.339,0.372,155,6.88
"N466C7, wind 180 at 5, Runway 14 cleared to land.","N466C7, wind 180 at 5, Runway 14 cleared to land.**
   - This instruction is correct. It provides a specific runway (14) for landing, which is appropriate given the wind direction (180 degrees) and speed (5 knots). The runway number corresponds to the magnetic heading rounded to the nearest 10 degrees, which in this case is 180 degrees.

B. **",1,0.0,0.224,0.339,296,4.29
"Greensboro Tower, DAL338, ILS 5, 5 miles out.","Greensboro Tower, DAL338, ILS 5, 5 miles out.**
   - This clearance indicates that you are cleared to descend to the final approach fix (FAF) for the ILS approach to runway 5 at Greensboro Tower. The FAF for ILS approaches is typically located at a specific distance from the runway threshold, often around 5 to 7 nautical miles",1,0.0,0.205,0.314,283,4.04
"Greensboro Approach, N123AB, level 10,000 feet, inbound to GSO.","Greensboro Approach, N123AB, level 10,000 feet, inbound to GSO. We have a medical emergency on board and request priority handling.""

2. **ATC Response**: The controller acknowledges your request and provides instructions for priority handling. This might include vectors for a direct approach, clearance for a lower altitude, or expedited landing clearance.

3. **Coordination with Ground Services**: Once you are",1,0.0,0.233,0.3,351,4.39
"Greensboro Approach, N466C7, level 10,000 feet, inbound to GSO.","Greensboro Approach, N466C7, level 10,000 feet, inbound to GSO. Can you provide me with the current weather conditions at the airport and any NOTAMs that might affect my flight?

Assistant: Sure, let me check that for you. According to the latest weather report, the visibility at GSO is currently 10 miles with scattered clouds at 3,500 feet. The wind is",1,0.0,0.242,0.321,292,4.45
"N466C7, wind 180 at 5, Runway 14 cleared to land.","N466C7, wind 180 at 5, Runway 14 cleared to land.**
   - This instruction is correct. It provides a specific runway (14) for landing, which is appropriate given the wind direction (180 degrees) and speed (5 knots). The runway number corresponds to the magnetic heading rounded to the nearest 10 degrees, which in this case is 180 degrees.

B. **",1,0.0,0.224,0.339,296,4.29
"N466C7, contact Greensboro Tower on 119.7.","N466C7, contact Greensboro Tower on 119.7. If you have any questions or need further assistance, feel free to reach out. Safe flying!",1,0.0,0.414,0.467,91,20.33
"SWA519, wind 250 at 15, Runway 5 cleared to land.","SWA519, wind 250 at 15, Runway 5 cleared to land.**
   - This is a standard landing clearance with a specific runway and wind information. It is clear and unambiguous.

B. **Cleared to land runway 5, winds 260 at 20, QNH 1013.**
    - This clearance includes runway information, wind direction and speed, and Q",1,0.0,0.214,0.408,261,5.18
"Greensboro Tower, N123AB, ILS 23L, 3 miles out.","Greensboro Tower, N123AB, ILS 23L, 3 miles out. Wind 270 at 10 knots, visibility 10 miles, scattered clouds at 3000 feet, temperature 15°C, dew point 10°C, altimeter setting 30.12 inHg.""",1,0.0,0.3,0.421,139,4.84
"N466C7, wind 230 at 10, Runway 23L cleared to land.","N466C7, wind 230 at 10, Runway 23L cleared to land.**
   - This clearance is correct. The aircraft is given a specific runway (23L) to land on, and the wind information is provided, which is standard practice.

B. **N466D7, taxi to runway 27 via taxiways Alpha, Bravo, Charlie, hold short of runway 25.",1,0.0,0.233,0.37,251,5.04
